"Category","Sub Category","Organization Type","Name","Address","Address2","City","County","State","Zip Code","Lat","Long","Email","Website","Description","CPG Number","CPG Issued On","Electricity Type","Utility","Owner","Stream","Project Team","Installation Date","Funding Source","Funding Amount","Financed By","System Specs","Capacity kW","Annual Production (kWh)","Energy Production Link","Annual Electricity Saved (kWh)","Capacity (MMBTU)","Annual Production (MMBTU)","Annual MMBTU Saved"
"Solar","Roof-Mounted PV","Residential","3692 Lake Street","3692 Lake Street","","Addison","Addison County","Vermont","05491","44.091994","-73.38932967","","","2720","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2012-12-04","","","","","7.69","","","","","",""
"Solar","Roof-Mounted PV","Residential","931 Mountain Road Extension","931 Mountain Road Extension","","Addison","Addison County","Vermont","05491","44.03992717","-73.27566066999999","","","5606","","","Net Metered","Green Mountain Power","","","SunCommon","2014-05-09","","","","","9.69","","","","","",""
"Solar","Roof-Mounted PV","Residential","79 KING HILL ROAD","79 KING HILL ROAD","","Addison","Addison County","Vermont","05491","44.08781","-73.2996","","","11480","5697","2015-01-13","Net Metered","Green Mountain Power","","","SunCommon","2015-05-27","","","","","9.800000000000001","","","","","",""
"Solar","Roof-Mounted PV","Residential","8042 Route 22A","8042 Route 22A","","Addison","Addison County","Vermont","05491","44.04478","-73.30459","","","37947","18-1850","","Net Metered","Green Mountain Power","","","Solar Communities","2018-07-23","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","418 Mountain Road","418 Mountain Road","","Addison","Addison County","Vermont","05491","44.07862","-73.29112000000001","","","33116","17-4515","","Net Metered","Green Mountain Power","","","Solar Communities","2017-12-01","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","2208 Mountain Road","2208 Mountain Road","","Addison","Addison County","Vermont","05491","44.05525833","-73.29364667","","","28020","","","Net Metered","Green Mountain Power","","","Green Earth Energy","2017-04-25","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","2624 Mountain Rd","2624 Mountain Rd","","Addison","Addison County","Vermont","05491","44.047963","-73.2930175","","","6410","","","Net Metered","Green Mountain Power","","","Addison Renewable Energy","2014-06-12","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","54 Whitney Creek Road","54 Whitney Creek Road","","Addison","Addison County","Vermont","05491","44.02968","-73.40087","","","34651","17-5138","","Net Metered","Green Mountain Power","","","Solar Communities","2018-01-24","","","","","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","7020 VT Route 22A","7020 VT Route 22A","","Addison","Addison County","Vermont","05491","44.05902","-73.30261","","","38168","18-2619","","Net Metered","Green Mountain Power","","","Energy Tesla","2018-12-13","","","","","12.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","69 Home Place","69 Home Place","","Addison","Addison County","Vermont","05491","44.08989","-73.30515","","","17548","","","Net Metered","Green Mountain Power","","","SunCommon","2016-03-01","","","","","13.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","6552 Vermont 125","6552 Vermont 125","","Addison","Addison County","Vermont","05491","44.0323","-73.40817","","","3710","#NM-3094","","Net Metered","Green Mountain Power","","","SunCommon","2013-12-02","","","","","15.73","","","","","",""
"Solar","Roof-Mounted PV","Residential","73 Page Pond Road","73 Page Pond Road","","Albany","Orleans County","Vermont","05440","44.71629","-72.3663","","","56","599","2009-04-15","Net Metered","Vermont Electric Coop","","","","2010-04-15","","","","","1.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","383 Delano Rd","383 Delano Rd","","Albany","Orleans County","Vermont","05440","44.76723067","-72.325057","","","448","3961","2014-05-30","Net Metered","Vermont Electric Coop","","","Solartech","2014-07-16","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","1289 South Albany Rd","1289 South Albany Rd","","Albany","Orleans County","Vermont","05440","44.69257556","-72.31487070999999","","","1639","19-0657","2019-03-07","Net Metered","Vermont Electric Coop","","","SOLARTECH,INC","2019-04-30","","","","","5.9","","","","","",""
"Solar","Roof-Mounted PV","Residential","130 Old St","130 Old St","","Albany","Orleans County","Vermont","05440","44.73172","-72.38231","","","1468","18-3210","2018-09-19","Net Metered","Vermont Electric Coop","","","SustainableVT, LLC","2018-10-19","","","","","5.9","","","","","",""
"Solar","Roof-Mounted PV","Residential","3112 Barton Rd","3112 Barton Rd","","Albany","Orleans County","Vermont","05440","44.74317","-72.26416999999999","","","484","4214","2014-07-22","Net Metered","Vermont Electric Coop","","","Solartech","2014-08-29","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","135 RichaRdson Drive","135 RichaRdson Drive","","Albany","Orleans County","Vermont","05440","44.69423768","-72.31583032","","","1671","19-1247","2019-04-30","Net Metered","Vermont Electric Coop","","","SOLARTECH,INC","2019-07-02","","","","Enphase","7.08","","","","","",""
"Solar","Roof-Mounted PV","Residential","5202 Creek Rd","5202 Creek Rd","","Albany","Orleans County","Vermont","05440","44.70173367","-72.33872933000001","","","1501","18-3454","2018-10-08","Net Metered","Vermont Electric Coop","","","Solar Communities","2018-11-13","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","3214 Creek Rd","3214 Creek Rd","","Albany","Orleans County","Vermont","05440","44.72506","-72.3224","","","1633","19-0669","2019-03-08","Net Metered","Vermont Electric Coop","","","Sunrun Installation Services, Inc","2019-06-21","","","","Solar Edge","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","487 South Albany Road","487 South Albany Road","","Albany","Orleans County","Vermont","05875","44.69967","-72.3288","","","1743","19-1874","2019-06-12","Net Metered","Vermont Electric Coop","","","Green Mountain Solar","2019-08-09","","","","","8.85","","","","","",""
"Solar","Roof-Mounted PV","Farm","80 Middle Road","80 Middle Road","","Alburgh","Grand Isle County","Vermont","05440","44.93023717","-73.29410300000001","","","1249","18-0819","2018-04-03","Group Net Metered","Vermont Electric Coop","","","Norwich Solar Technologies","2018-11-08","","","","","150","","","","","",""
"Solar","Roof-Mounted PV","Residential","51 Coon Point Road","51 Coon Point Road","","Alburgh","Grand Isle County","Vermont","05440","44.88116","-73.30439","","","1226","18-0483","2018-02-27","Group Net Metered","Vermont Electric Coop","","","Green Mountain Solar","2018-04-24","","","","","30.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","799 Fire House Rd","799 Fire House Rd","","Alburgh","Grand Isle County","Vermont","05440","44.98389592","-73.3153865","","","1205","18-0106","2018-01-11","Net Metered","Vermont Electric Coop","","","SolarCity Corporation","2018-02-05","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","815 Fire House Road","815 Fire House Road","","Alburgh","Grand Isle County","Vermont","05440","44.98393483","-73.3155249","","","1287","18-1066","2018-04-24","Net Metered","Vermont Electric Coop","","","SolarCity","2018-06-08","","","","","3.3","","","","","",""
"Solar","Roof-Mounted PV","Residential","325 W Shore Rd","325 W Shore Rd","","Alburgh","Grand Isle County","Vermont","05440","44.921475","-73.30742100000001","","","330","2912","2013-06-03","Net Metered","Vermont Electric Coop","","","SunCommon","2013-08-31","","","","","3.73","","","","","",""
"Solar","Roof-Mounted PV","Residential","286 Lake St","286 Lake St","","Alburgh","Grand Isle County","Vermont","05440","44.975222","-73.307029","","","1630","19-0631","2019-03-04","Net Metered","Vermont Electric Coop","","","Sunrun, Inc.","2019-06-14","","","","Solar Edge","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","1824 Greenwoods Rd","1824 Greenwoods Rd","","Alburgh","Grand Isle County","Vermont","05440","44.99995","-73.248659","","","1656","19-0896","2019-03-29","Net Metered","Vermont Electric Coop","","","Sunrun Installation Services, Inc","2019-05-21","","","","Solar Edge","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","26 Baker St","26 Baker St","","Alburgh","Grand Isle County","Vermont","05440","44.97782","-73.3081","","","461","4021","2014-06-16","Net Metered","Vermont Electric Coop","","","SunCommon","2014-07-18","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","1713 Martell Road","1713 Martell Road","","Alburgh","Grand Isle County","Vermont","05440","44.992904","-73.265303","","","01669 - Solar Edge","18-3973","2018-11-16","Net Metered","Vermont Electric Coop","","","Solar Communities","2019-05-08","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","1149 West Shore Rd","1149 West Shore Rd","","Alburgh","Grand Isle County","Vermont","05440","44.88909241","-73.31974552","","","1485","18-3336","2018-09-27","Net Metered","Vermont Electric Coop","","","Sunrun, Inc.","2018-11-28","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","10 Wagner PT Rd","10 Wagner PT Rd","","Alburgh","Grand Isle County","Vermont","05440","44.90581","-73.27281000000001","","","1457","18-2801","2018-08-01","Net Metered","Vermont Electric Coop","","","Sunrun","2018-09-18","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","11 Center Bay S","11 Center Bay S","","Alburgh","Grand Isle County","Vermont","05440","44.95343","-73.26509","","","1253","18-0874","2018-04-04","Net Metered","Vermont Electric Coop","","","Building Energy","2018-06-26","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","51 Coon Point Road","51 Coon Point Road","","Alburgh","Grand Isle County","Vermont","05440","44.88116","-73.30439","","","1178","17-4608","2017-12-07","Net Metered","Vermont Electric Coop","","","","2018-06-19","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","539 US Route 2","539 US Route 2","","Alburgh","Grand Isle County","Vermont","05440","44.92009","-73.27410999999999","","","716","7205","2015-11-24","Net Metered","Vermont Electric Coop","","","DC Energy Innovations","2016-06-30","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","23 West Shore Rd","23 West Shore Rd","","Alburgh","Grand Isle County","Vermont","05440","44.96305","-73.30464000000001","","","168","1697","2011-10-12","Net Metered","Vermont Electric Coop","","","DC Energy Innovations","2012-01-06","","","","","6.78","","","","","",""
"Solar","Roof-Mounted PV","Residential","88 Route 129","88 Route 129","","Alburgh","Grand Isle County","Vermont","05440","44.88811","-73.29776","","","614","6218","2015-06-01","Net Metered","Vermont Electric Coop","","","Nunez Electric","2015-07-25","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","15 Winters Lane Ext","15 Winters Lane Ext","","Alburgh","Grand Isle County","Vermont","05440","44.967841","-73.300932","","","1666","19-1044","2019-04-12","Net Metered","Vermont Electric Coop","","","Solar Communities","2019-05-28","","","","Solar Edge","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","2835 US Route 2 South","2835 US Route 2 South","","Alburgh","Grand Isle County","Vermont","05440","44.952183","-73.270374","","","1598","19-0222","2019-01-22","Net Metered","Vermont Electric Coop","","","Sunrun, Inc.","2019-04-05","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","10 Garcia Lane","10 Garcia Lane","","Alburgh","Grand Isle County","Vermont","05440","44.91421","-73.31175","","","699","7098","2015-11-13","Net Metered","Vermont Electric Coop","","","SunCommon","2016-01-15","","","","","8.800000000000001","","","","","",""
"Solar","Roof-Mounted PV","Residential","113 Winters lane Ext","113 Winters lane Ext","","Alburgh","Grand Isle County","Vermont","05440","44.96705227","-73.30157398999999","","","1530","18-3831","2018-11-12","Net Metered","Vermont Electric Coop","","","Sunrun, Inc.","2018-12-20","","","","","9","","","","","",""
"Solar","Roof-Mounted PV","Residential","24B Little Woods Rd","24B Little Woods Rd","","Alburgh","Grand Isle County","Vermont","05440","44.99149799","-73.24119485","","","1198","18-0105","2018-01-16","Net Metered","Vermont Electric Coop","","","","2018-05-03","","","","","9","","","","","",""
"Solar","Roof-Mounted PV","Residential","390 Henry Rd","390 Henry Rd","","Alburgh","Grand Isle County","Vermont","05440","45.011595","-73.242317","","","1717","19-1557","2019-05-23","Net Metered","Vermont Electric Coop","","","Sunrun Installation Services, Inc","2019-06-27","","","","SolarEdge Technologies","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","107 Vantine Ave","107 Vantine Ave","","Alburgh","Grand Isle County","Vermont","05440","44.974553","-73.298987","","","1734","19-1076","2019-04-16","Net Metered","Vermont Electric Coop","","","Sunrun Installation Services, Inc","2019-06-21","","","","Solar Edge","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","669 US Route 2","669 US Route 2","","Alburgh","Grand Isle County","Vermont","05440","44.90495","-73.27361999999999","","","602","6063","2015-04-22","Net Metered","Vermont Electric Coop","","","SunCommon","2015-06-25","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","1301 Windmill Point","1301 Windmill Point","","Alburgh","Grand Isle County","Vermont","05440","44.99072983","-73.31861762","","","1619","19-0484","2019-02-14","Net Metered","Vermont Electric Coop","","","Solar Communities","2019-04-26","","","","","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","70 Bay Road","70 Bay Road","","Alburgh","Grand Isle County","Vermont","05440","45.00916","-73.32850000000001","","","301","2760","2013-04-12","Net Metered","Vermont Electric Coop","","","Real Goods Solar","2013-06-21","","","","","12.9","","","","","",""
"Solar","Roof-Mounted PV","Residential","1575 West Shore Rd","1575 West Shore Rd","","Alburgh","Grand Isle County","Vermont","05440","44.89435718","-73.31615481999999","","","1529","18-3803","2018-11-12","Net Metered","Vermont Electric Coop","","","Solar Communities","2018-12-28","","","","","15","","","","","",""
"Solar","Roof-Mounted PV","Residential","2037 North Hill Road","2037 North Hill Road","","Andover","Windsor County","Vermont","05143","43.31051","-72.72577","","","8833","#NM-835","","Net Metered","Green Mountain Power","","","Central Vermont Solar and Wind","2013-04-05","","","","","1.52","","","","","",""
"Solar","Roof-Mounted PV","Residential","216 Chauncey Road Ext.","216 Chauncey Road Ext.","","Andover","Windsor County","Vermont","05143","43.324823","-72.708901","","","30892","17-3268-NMR","","Net Metered","Green Mountain Power","","","Same Sun of Vermont","2017-07-20","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1627 Andover Ridge Road","1627 Andover Ridge Road","","Andover","Windsor County","Vermont","05143","43.30108","-72.75445999999999","","","18033","","","Net Metered","Green Mountain Power","","","Same Sun of Vermont","2016-04-21","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","894 Howard Hill Rd","894 Howard Hill Rd","","Andover","Windsor County","Vermont","05143","43.2484","-72.7101","","","40958","18-4043","","Net Metered","Green Mountain Power","","","Solar Communities","2019-01-16","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","3800 Weston Andover RD","3800 Weston Andover RD","","Andover","Windsor County","Vermont","05143","43.28461","-72.747","","","7839","5204","2014-10-05","Net Metered","Green Mountain Power","","","Renewable Energy Systems & Tech","2014-11-21","","","","","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","710 Spruce Drive","710 Spruce Drive","","Andover","Windsor County","Vermont","05143","43.30059089","-72.72912577","","","8644","#NM-365","","Net Metered","Green Mountain Power","","","Solar Works","2007-08-06","","","","","11.5","","","","","",""
"Solar","Roof-Mounted PV","Residential","2604 East Hill Road","2604 East Hill Road","","Andover","Windsor County","Vermont","05143","43.31317183","-72.701087","","","39754","18-2349","","Net Metered","Green Mountain Power","","","Solar Communities","2018-10-30","","","","","15","","","","","",""
"Solar","Roof-Mounted PV","Residential","3546 East Hill Road","3546 East Hill Road","","Andover","Windsor County","Vermont","05149","43.32248","-72.71201000000001","","","30897","17-3268-NMR","","Net Metered","Green Mountain Power","","","Same Sun of Vermont","2017-07-20","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Business","178 Chittenden Drive","178 Chittenden Drive","","Arlington","Bennington County","Vermont","05250","43.072138","-73.15149599999999","","","35738","18-0937","","Net Metered","Green Mountain Power","","","Solar Pro","2018-07-19","","","","","43.5","","","","","",""
"Solar","Roof-Mounted PV","Institution","East Arlington Road","East Arlington Road","","Arlington","Bennington County","Vermont","05250","43.06250276","-73.14647676","","","16009","#NM-7038","","Net Metered","Green Mountain Power","","","Solar Pro","2016-08-10","","","","","108","","","","","",""
"Solar","Roof-Mounted PV","Residential","99 Hollerith Road","99 Hollerith Road","","Arlington","Bennington County","Vermont","05250","43.07667","-73.16982","","","4199","","","Net Metered","Green Mountain Power","","","Solar Pro","2014-04-25","","","","","0.97","","","","","",""
"Solar","Roof-Mounted PV","Residential","1163 E. Arlington / Maple St.","1163 E. Arlington / Maple St.","","Arlington","Bennington County","Vermont","05250","43.06365","-73.14282","","","27489","17-4354","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-02-24","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","687 East Arlington Rd","687 East Arlington Rd","","Arlington","Bennington County","Vermont","05250","43.06395083","-73.15055366999999","","","21624","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-08-25","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","1467 ROUTE 7A SUGAR HOUSE","1467 ROUTE 7A SUGAR HOUSE","","Arlington","Bennington County","Vermont","05250","43.04264","-73.1691","","","16838","7450","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-03-01","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","876 Sandgate Rd.","876 Sandgate Rd.","","Arlington","Bennington County","Vermont","05250","43.11578017","-73.21011217","","","39555","18-3133","2018-09-27","Net Metered","Green Mountain Power","","","Energy Tesla","2019-04-26","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","657 Ball Mountain Road","657 Ball Mountain Road","","Arlington","Bennington County","Vermont","05250","43.04742","-73.17870000000001","","","21314","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-09-26","","","","","4.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","301 Hollerith Road","301 Hollerith Road","","Arlington","Bennington County","Vermont","05250","43.07686","-73.17349","","","32918","17-4397","","Net Metered","Green Mountain Power","","","Solar Pro","2017-11-15","","","","","4.35","","","","","",""
"Solar","Roof-Mounted PV","Residential","430 Red Mountain Road","430 Red Mountain Road","","Arlington","Bennington County","Vermont","05250","43.10723","-73.13997999999999","","","42016","19-0596","2019-05-16","Net Metered","Green Mountain Power","","","Grassroots Solar","2019-07-05","","","","","4.48","","","","","",""
"Solar","Roof-Mounted PV","Residential","297 VT Route 313","297 VT Route 313","","Arlington","Bennington County","Vermont","05250","43.07587","-73.15898","","","36420","18-1146","","Net Metered","Green Mountain Power","","","Solar City Corporation","2018-09-18","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","591 Berwal Road","591 Berwal Road","","Arlington","Bennington County","Vermont","05250","43.109","-73.20484999999999","","","28653","","","Net Metered","Green Mountain Power","","","Power Guru","2017-05-22","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","132 Hagelberg Hill Road","132 Hagelberg Hill Road","","Arlington","Bennington County","Vermont","05250","43.05646","-73.17019999999999","","","24221","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-12-20","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","449 Sunrise Lane","449 Sunrise Lane","","Arlington","Bennington County","Vermont","05250","43.089834","-73.138622","","","12074","","","Net Metered","Green Mountain Power","","","Power Guru","2015-07-22","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","230 Deer Run","230 Deer Run","","Arlington","Bennington County","Vermont","05250","43.10956","-73.13608000000001","","","36808","18-1397","","Net Metered","Green Mountain Power","","","Grassroots Solar Inc","2018-07-25","","","","","5.12","","","","","",""
"Solar","Roof-Mounted PV","Residential","860 Wilcox Road","860 Wilcox Road","","Arlington","Bennington County","Vermont","05250","43.0963","-73.18996","","","29596","17-2978-NMR","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-04-17","","","","","5.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","3316 VT Route 7A","3316 VT Route 7A","","Arlington","Bennington County","Vermont","05250","43.0675485","-73.1558855","","","14935","","","Net Metered","Green Mountain Power","","","Larry Parks","2015-10-15","","","","","5.45","","","","","",""
"Solar","Roof-Mounted PV","Residential","145 Ball Mountain Road","145 Ball Mountain Road","","Arlington","Bennington County","Vermont","05250","43.04579","-73.16902","","","16664","","","Net Metered","Green Mountain Power","","","Solar Pro","2016-04-19","","","","","5.5","","","","","",""
"Solar","Roof-Mounted PV","Residential","190 Berwal Road","190 Berwal Road","","Arlington","Bennington County","Vermont","05250","43.10378","-73.20589","","","9540","","","Net Metered","Green Mountain Power","","","Solar Pro","2013-06-04","","","","","5.7","","","","","",""
"Solar","Roof-Mounted PV","Residential","795 Bacon Hollow Road","795 Bacon Hollow Road","","Arlington","Bennington County","Vermont","05250","43.09165","-73.10883","","","29902","17-2804-NMR","","Net Metered","Green Mountain Power","","","Grassroots Solar Inc","2017-04-28","","","","","5.76","","","","","",""
"Solar","Roof-Mounted PV","Residential","825 Red Mountain Road","825 Red Mountain Road","","Arlington","Bennington County","Vermont","05250","43.11349817","-73.14432866999999","","","9604","","","Net Metered","Green Mountain Power","","","Solar Pro","2013-07-23","","","","","6.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","1906 Route 7A","1906 Route 7A","","Arlington","Bennington County","Vermont","05250","43.04745","-73.16417","","","37846","18-1864","","Net Metered","Green Mountain Power","","","Solar Pro","2018-08-21","","","","","6.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","983 Berwal Road","983 Berwal Road","","Arlington","Bennington County","Vermont","05250","43.11453167","-73.204042","","","24232","","","Net Metered","Green Mountain Power","","","Solar Pro","2016-11-15","","","","","6.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","37 Country View","37 Country View","","Arlington","Bennington County","Vermont","05250","43.09898","-73.19678","","","12325","","","Net Metered","Green Mountain Power","","","Grassroots Solar Inc","2015-05-06","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","482 Sunrise Lane","482 Sunrise Lane","","Arlington","Bennington County","Vermont","05250","43.089245","-73.13726333","","","18413","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-05-03","","","","","7.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","265 Country View","265 Country View","","Arlington","Bennington County","Vermont","05250","43.09637","-73.1948","","","12544","6052","2015-04-20","Net Metered","Green Mountain Power","","","Marc Evans","2015-05-27","","","","","7.5","","","","","",""
